x_centriod,y_centroid,tl_fid,year,bldg_typ,num_floors,RMV,dpt_100y,dpt_200y,dpt_250y,dpt_500y,dpt_1000y,dpt_2500y,dpt_5000y,dpt_10000y,MF_100y,MF_200y,MF_250y,MF_500y,MF_1000y,MF_2500y,MF_5000y,MF_10000y,v_100y,v_200y,v_250y,v_500y,v_1000y,v_2500y,v_5000y,v_10000y
428705.7945,5093865.986,2304,1995,2,2,422807,0,0,0,0.18422,2.25123,4.30929,5.38484,6.20156,0,0,0,0.96905,3.97359,25.41553,47.8606,69.11568,0,0,0,0.16907,1.51541,2.73099,3.42347,3.88155
428720.9928,5093875.899,2305,1930,1,1,115252,0,0,0,0.18422,2.25123,4.30929,5.38484,6.20156,0,0,0,0.96905,3.97359,25.41553,47.8606,69.11568,0,0,0,0.16907,1.51541,2.73099,3.42347,3.88155
428504.0856,5093869.729,2306,2007,2.5,4,162217,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428502.3369,5093873.955,2307,2007,2.5,4,146694,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428736.2276,5093875.956,2308,0,0,0,30046,0,0,0,0.09049,1.89627,3.81176,4.82685,5.70982,0,0,0,0.30292,3.98619,28.3165,52.91482,77.33512,0,0,0,0.04812,1.55675,2.85086,3.54168,3.94959
428509.7822,5093869.427,2309,2007,2.5,4,162217,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428754.3199,5093876.151,2310,2007,3,1,283215,0,0,0,0.09049,1.89627,3.81176,4.82685,5.70982,0,0,0,0.30292,3.98619,28.3165,52.91482,77.33512,0,0,0,0.04812,1.55675,2.85086,3.54168,3.94959
428515.3049,5093869.54,2311,2007,2.5,4,162217,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428507.8238,5093873.545,2312,2007,2.5,4,154455,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428520.6817,5093869.554,2313,2007,2.5,4,169979,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428518.6446,5093873.617,2314,2008,2.5,4,162217,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428513.2277,5093873.321,2315,2007,2.5,4,154455,0,0,0,0.84021,3.03943,5.54752,6.82259,7.72248,0,0,0,1,8.70687,38.41348,68.72629,102.76785,0,0,0,0.46165,2.10139,3.10045,3.81846,4.20948
428456.3138,5093865.788,2316,0,0,0,134,0.64159,0.7085,1.04349,2.86907,5.07039,7.67035,9.02995,9.96313,0.69189,0.69179,0.69996,2.69371,11.21572,35.24807,60.26011,87.40087,0.299,0.32611,0.43887,0.92005,1.73824,2.61891,3.28401,4.12975
